Timestamp	Full Name	University Of Manchester email address	Which faculty are you in?	How did you find out about this course?	Which programming languages do you use?	Which version control systems do you use?	Which software engineering techniques do you use?	Which course did you attend?	Please suggest one thing the instructor could have done to make this lesson more effective?	If you could pick one thing from the lesson to go over again, what would it be?	What other topics would you like to have covered in the lesson?	Do you have any other feedback?	How would you rate the course overall?
6-Jun-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	R, Stata, Bash	None	None	Automation and Make	Identify the trickier concepts and covered those slowly/repeat	Pattern rules			4
6-Jun-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	None, Python	None	None	Automation and Make	more case study	application			5
6-Jun-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, Fortran, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Automation and Make	Explained more about make, give a few more examples, although I do understand most of uses now would be good to have more details.	The final exercises bringing everything together			4
6-Jun-2017			Science and Engineering	training catalogue	MATLAB, C/C++, Python, Bash	Git	Comments, Assertions (pre- and post-conditions)	Automation and Make	no	variable			5
6-Jun-2017			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB, C/C++, Python	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Automation and Make	No everything ok	Dependencies on Data and Code			5
7-Jun-2017			Science and Engineering	Social media	C/C++, Mathematica, Bash, Lua, Make	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Automation and Make	Can't think of anything	Substitution and wildcards		None	5
26-Jun-2017			Science and Engineering	HR-DIC Research group	MATLAB, Fortran, Python	None, Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	Paper notes	Github	everything seemed to be covered	no	4
26-Jun-2017			Science and Engineering	A University email list	MATLAB, Python	None	None	Version control with Git and GitHub	N/A	Remote github	N/A	Good lesson on Github.	5
26-Jun-2017			Science and Engineering	Supervisor	C/C++	None	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	N/A	N/A			4
26-Jun-2017			Science and Engineering	A University email list	Python	Git	Comments, Assertions (pre- and post-conditions)	Version control with Git and GitHub	I really can't. It was very good.	difference between git pull and git checkout. Nothing a google can't sort.		Thanks for a great course!	5
26-Jun-2017			Science and Engineering	Arranged via research group	Bash	None	None	Version control with Git and GitHub	Perhaps a sightly quicker pace (personal preference), or better introduction to bash/ the command line for those unfamiliar, or require it as a prerequisite course.  	N/A	How best to use git with LATEX/ other things not directly relater to programming.	No, course was good overall	4
26-Jun-2017			Science and Engineering	Supervisor	Python	Git	None	Version control with Git and GitHub	I think everything was great	forking			5
26-Jun-2017			Science and Engineering	Supervisor	Python	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing, Code reviews	Version control with Git and GitHub	From a personal point of view, the lesson went through everything that what was required	Possibly more detail on pull reuqests		The course was useful in helping to understand how to maintain a good working environment in terms of updating, editing and merging files and then updating.	4
26-Jun-2017			Science and Engineering	Supervisor	MATLAB, Python	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	I thought that the instructor was very effective; simple and thorough explanations with plenty of time for exercises.	The final section in forking a repository and submitting a pull request - this could have been clearer	Branches of branches? Interfaces with other systems that people often use, dropbox, etc.	Very thorough and accessible course	4
26-Jun-2017			Science and Engineering	Supervisor	Python	None, Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Version control with Git and GitHub	N/A	Branching			5
26-Jun-2017			Science and Engineering	Word of mouth	Fortran, C/C++, Python, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	Perhaps a session where we broke things and then had to try to fix them.	Nothing in particular, though I will go over some of the bits on syncing with the remote repository again myself.			5
19-Sep-2017			Science and Engineering	Git course for PhD	Bash	Git	None	Version control with Git and GitHub	None	Rebasing			4
19-Sep-2017			Humanities	PhD welcome week	Python, R	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	Not to teach on Linux. None all people are familiar with this os.	none	Something except linux		4
19-Sep-2017			Science and Engineering	orientation week	MATLAB, C/C++, Python	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing, Code reviews	Version control with Git and GitHub	give many examples	merge and rebase			4
19-Sep-2017			Science and Engineering	part of the opening week 	Python, R, mostly Java	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Version control with Git and GitHub	provide more than one board for large groups, it is too long for a day. it would be better to divide it.	nothing			3
19-Sep-2017			Science and Engineering	Welcome Week	Python, Bash	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Version control with Git and GitHub	Would have been nice to have the option to clone an initial repository to work on!	all good			4
19-Sep-2017			Science and Engineering	Induction Week for my CDT	Bash	Git	None	Version control with Git and GitHub	I'm not sure - sorry!	I missed an important step on rebasing and couldn't catch up again to follow along - likely my fault, though. 		Just to say I thought it was a really great course - keep up the good work! 	5
19-Sep-2017			Science and Engineering	Part of PhD induction	C/C++, Python, Java	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Defensive programming, Code reviews	Version control with Git and GitHub	N/A	Merging and rebasing			4
19-Sep-2017			Science and Engineering	Welcome week events	C/C++, Python, R	Git, Mercurial	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Version control with Git and GitHub	Everything was fine.	Maybe the uses of rebasing, but still is pretty clear.			5
19-Sep-2017			Science and Engineering	arranged by the School	Fortran, C/C++, Python	Git	None	Version control with Git and GitHub	.	Branching			3
19-Sep-2017			Science and Engineering	PGR Opening Week Events	MATLAB, C/C++, Python, Bash, Java	Git, Subversion	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Code reviews	Version control with Git and GitHub	To give additional breaks, e.g. at 11 a.m and 14 p.m	Rebasing & merge, and fetch & pull			4
19-Sep-2017			Science and Engineering	Compulsory course	MATLAB, C/C++, Python	Git	Defensive programming	Version control with Git and GitHub	A little more breaks during the session would be helpful.	Difference between rebasing and merge, revert and reset.	If operation on Windows and mac been covered would be quite helpful.	Learned how to use git completely.	5
19-Sep-2017			Science and Engineering	Welcome Week	C/C++, Java	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	Talk a little louder	Rebasing 			5
19-Sep-2017			Science and Engineering	PhD Welcome Week 	C/C++, Python, Java	Git	Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing, Code reviews	Version control with Git and GitHub	In general it was a very helpful session. I would suggest focusing little bit more on Github.	Using pull request			5
19-Sep-2017			Science and Engineering	Welcome week	MATLAB, C/C++	None	None	Version control with Git and GitHub	More information on the slides	Rebasing			4
19-Sep-2017			Science and Engineering	A University email list	C/C++	None	Unit testing	Version control with Git and GitHub	Give a little more small examples	Rebasing			5
19-Sep-2017			Science and Engineering	PhD Welcome Week	C/C++, Java	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing	Version control with Git and GitHub	-	-			5
19-Sep-2017			Science and Engineering	welcome week	None	Git	Comments	Version control with Git and GitHub	we need more breaks.	about schedule 8			4
